Video_ID,Channel_ID,Channel_Name,Video_Title,YouTube_URL,Transcript_Path,Family_Count,Family_List,Tool_Total_Mentions,Tool_List,Tactic_Total_Mentions,Dominant_Tactic,Platform_Signal,Tactic_Initial_Access,Tactic_Execution,Tactic_Persistence,Tactic_Privilege_Escalation,Tactic_Credential_Access,Tactic_Lateral_Movement,Tactic_Discovery,Tactic_Command_and_Control,Tactic_Exfiltration,Tactic_Impact,Tool_Cobalt_Strike,Tool_Mimikatz,Tool_PsExec,Tool_Rclone,Tool_MegaNZ,Tool_AnyDesk,Tool_TeamViewer,Tool_BloodHound,Platform_Windows,Platform_Linux,Platform_ESXi
V0093,C10,John Hammond,Moltbook is still weird (and AI skills suck),https://www.youtube.com/watch?v=BzUBdvCdlSU,transcripts/C10_John_Hammond/V0093.txt,1,Play,0,,4,Exfiltration,Linux,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
V0095,C10,John Hammond,NTUSER.MAN,https://www.youtube.com/watch?v=Mw8DVcLSZIc,transcripts/C10_John_Hammond/V0095.txt,2,"Hive, Play",5,Cobalt_Strike,10,Command_and_Control,Windows,0,3,2,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,24,10,0
V0096,C10,John Hammond,"Hacking Endpoint to Identity (Microsoft 365): ""ConsentFix""",https://www.youtube.com/watch?v=AAiiIY-Soak,transcripts/C10_John_Hammond/V0096.txt,1,Play,0,,10,Privilege_Escalation,Windows,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V0100,C10,John Hammond,Microsoft Entra ID INSECURE DEFAULTS,https://www.youtube.com/watch?v=WUHzpDdauAw,transcripts/C10_John_Hammond/V0100.txt,1,Play,0,,2,Initial_Access,Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
V0099,C10,John Hammond,The State of Cybercrime in 2025 Part 2 (with Nick Ascoli!),https://www.youtube.com/watch?v=Bc2Jygf4WdE,transcripts/C10_John_Hammond/V0099.txt,1,Play,0,,30,Privilege_Escalation,Windows,4,4,4,9,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0
V0098,C10,John Hammond,Phishing for Passwords! (Advent of Cyber Day 02),https://www.youtube.com/watch?v=w8O8FcRgDXU,transcripts/C10_John_Hammond/V0098.txt,1,Play,0,,5,Execution,,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
V0092,C10,John Hammond,AI wrote a hit piece,https://www.youtube.com/watch?v=RP-zs6J6ySw,transcripts/C10_John_Hammond/V0092.txt,1,Play,0,,3,Privilege_Escalation,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0097,C10,John Hammond,so malware is invisible now lol,https://www.youtube.com/watch?v=0XumkGQFEEk,transcripts/C10_John_Hammond/V0097.txt,1,Play,0,,3,Execution,Windows,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V0257,C29,Security Onion Solutions,Ingesting PFSense Logs with Security Onion 2.4,https://www.youtube.com/watch?v=aoH8qZwAxek,transcripts/C29_Security_Onion_Solutions/V0257.txt,0,,0,,2,Persistence,Windows,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V0256,C29,Security Onion Solutions,Sneak Peek: Security Onion Playbooks,https://www.youtube.com/watch?v=SLGRB3PxB-o,transcripts/C29_Security_Onion_Solutions/V0256.txt,0,,3,Cobalt_Strike,7,Command_and_Control,,0,2,1,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0
